player,venue,runs,balls,boundaries,matches,entity_type,strike_rate,wickets,economy
M Kaif,Reliance Stadium,12,27,1.0,1,batter,44.44,,
CS MacLeod,"Moosa Cricket Stadium, Pearland",40,60,6.0,2,batter,66.67,,
BM Duckett,"Seddon Park, Hamilton",16,22,2.0,2,batter,72.73,,
Shoaib Malik,The Rose Bowl,35,87,1.0,3,batter,40.23,,
UDU Chandana,"Punjab Cricket Association IS Bindra Stadium, Mohali",19,41,1.0,1,batter,46.34,,
MJ Hoggard,"Trent Bridge, Nottingham",18,40,2.0,1,batter,45.0,,
Fakhar Zaman,Queens Sports Club,11,18,,1,bowler,,0.0,3.67
J Blackwood,P Sara Oval,20,42,2.0,1,batter,47.62,,
S Rungrueang,University of Doha for Science and Technology,8,13,1.0,2,batter,61.54,,
AF Giles,Trent Bridge,25,60,,1,bowler,,1.0,2.5
JA Warrican,"Narendra Modi Stadium, Ahmedabad",8,18,1.0,1,batter,44.44,,
WIA Fernando,Sylhet International Cricket Stadium,4,9,1.0,2,batter,44.44,,
KOK Williams,Saxton Oval,3,5,0.0,1,batter,60.0,,
Enamul Haque jnr,Zahur Ahmed Chowdhury Stadium,191,295,,2,bowler,,3.0,3.88
KD Karthik,Harare Sports Club,137,170,16.0,4,batter,80.59,,
Khalid Latif,Iqbal Stadium,19,42,2.0,1,batter,45.24,,
SPD Smith,Dubai International Cricket Stadium,54,42,,2,bowler,,1.0,7.71
J Rasu,Sano International Cricket Ground,79,90,8.0,4,batter,87.78,,
Mosaddek Hossain,Bay Oval,13,14,2.0,2,batter,92.86,,
S Gantulga,"Bayuemas Oval, Kuala Lumpur",3,36,0.0,3,batter,8.33,,
AF Giles,Iqbal Stadium,39,115,4.0,1,batter,33.91,,
Tamim Iqbal,"County Ground, Chelmsford",90,114,8.0,3,batter,78.95,,
IJL Trott,SuperSport Park,30,54,,2,bowler,,0.0,3.33
CB Sole,"Grange Cricket Club, Raeburn Place",38,24,,1,bowler,,2.0,9.5
JV Harris,"Willowmoore Park, Benoni",26,39,3.0,1,batter,66.67,,
D Pretorius,"SuperSport Park, Centurion",18,12,,1,bowler,,0.0,9.0
Shoaib Malik,National Stadium,513,720,,14,bowler,,16.0,4.28
Shafiul Islam,"Beausejour Stadium, Gros Islet",24,74,2.0,1,batter,32.43,,
Iqbal Hossain,Tikkurila Cricket Ground,72,34,13.0,2,batter,211.76,,
DDP D'Silva,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),47,105,7.0,3,batter,44.76,,
TS Mills,M Chinnaswamy Stadium,0,2,0.0,1,batter,0.0,,
RML Taylor,Mannofield Park,36,24,,1,bowler,,2.0,9.0
AJ Hosein,"National Stadium, Karachi",3,3,0.0,2,batter,100.0,,
Faisal Iqbal,M.Chinnaswamy Stadium,73,117,9.0,1,batter,62.39,,
Taijul Islam,Mangaung Oval,14,47,0.0,1,batter,29.79,,
KL Rahul,M.Chinnaswamy Stadium,66,53,9.0,2,batter,124.53,,
JC Buttler,Trent Bridge,596,580,79.0,10,batter,102.76,,
Muslim Yar,"TCA Oval, Blantyre",65,65,9.0,6,batter,100.0,,
Babar Azam,Kingsmead,12,15,2.0,1,batter,80.0,,
Babar Azam,"Gaddafi Stadium, Lahore",2,6,,1,bowler,,0.0,2.0
BMAJ Mendis,Lord's,40,60,,1,bowler,,2.0,4.0
MK Tiwary,Pallekele International Cricket Stadium,14,6,,1,bowler,,0.0,14.0
PD Salt,"Gaddafi Stadium, Lahore",121,65,21.0,4,batter,186.15,,
CBRLS Kumara,Perth Stadium,22,21,,1,bowler,,0.0,6.29
Mehrab Hossain jnr,Shaheed Chandu Stadium,91,187,9.0,2,batter,48.66,,
MJ Potts,"Riverside Ground, Chester-le-Street",3,4,0.0,1,batter,75.0,,
BJ McCarthy,"R Premadasa Stadium, Colombo",2,4,0.0,1,batter,50.0,,
PADLR Sandakan,Maharashtra Cricket Association Stadium,35,24,,1,bowler,,3.0,8.75
AR McBrine,Bellerive Oval,56,48,,1,bowler,,1.0,7.0
Mujeeb-ur-Rehman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),8,6,1.0,1,batter,133.33,,
G Gambhir,The Rose Bowl,3,14,0.0,1,batter,21.43,,
Haris Sohail,Shere Bangla National Stadium,31,18,,1,bowler,,0.0,10.33
SR Bhudia,"Gymkhana Club Ground, Nairobi",149,146,17.0,13,batter,102.05,,
MA Starc,Lord's,16,28,1.0,3,batter,57.14,,
P Utseya,Goodyear Park,37,36,,1,bowler,,0.0,6.17
Shakib Al Hasan,"Zahur Ahmed Chowdhury Stadium, Chattogram",464,924,,9,bowler,,20.0,3.01
KR Mayers,Harare Sports Club,162,190,,5,bowler,,4.0,5.12
WG Jacks,"R Premadasa Stadium, Colombo",40,26,6.0,2,batter,153.85,,
SR Patel,Green Park,25,28,2.0,1,batter,89.29,,
Shoaib Bashir,"Seddon Park, Hamilton",170,216,,1,bowler,,2.0,4.72
SK Lahiri,"Reforma Athletic Club, Naucalpan",64,54,,3,bowler,,8.0,7.11
KM Jarvis,Buffalo Park,37,24,,1,bowler,,3.0,9.25
N Pradeep,Basin Reserve,180,318,,1,bowler,,7.0,3.4
Rubel Hossain,University Oval,3,3,0.0,1,batter,100.0,,
M Whelan,Europa Sports Complex,10,15,1.0,2,batter,66.67,,
BKG Mendis,"R Premadasa Stadium, Colombo",1070,1191,129.0,29,batter,89.84,,
NB Mahwire,"Queen's Park Oval, Port of Spain",49,59,,1,bowler,,2.0,4.98
SCJ Broad,Dubai International Cricket Stadium,94,151,9.0,4,batter,62.25,,
Virandeep Singh,"Mission Road Ground, Mong Kok, Hong Kong",20,13,,3,bowler,,0.0,9.23
MNM Aslam,"Bayuemas Oval, Kuala Lumpur",104,168,,8,bowler,,7.0,3.71
MD Craig,"Queen's Park Oval, Port of Spain",128,192,,1,bowler,,0.0,4.0
M Morkel,Old Trafford,20,36,3.0,1,batter,55.56,,
CJ McKay,The Rose Bowl,54,54,,1,bowler,,0.0,6.0
KP Meiyappan,Bulawayo Athletic Club,123,120,,3,bowler,,1.0,6.15
Sarfraz Ahmed,New Wanderers Stadium,8,24,1.0,1,batter,33.33,,
R Dravid,"Vidarbha Cricket Association Stadium, Jamtha",194,415,21.0,2,batter,46.75,,
B Lee,Nehru Stadium,2,2,0.0,1,batter,100.0,,
M Morkel,County Ground,0,1,0.0,1,batter,0.0,,
Y Cariah,Sharjah Cricket Stadium,7,14,0.0,1,batter,50.0,,
JO Holder,Wankhede Stadium,8,5,1.0,1,batter,160.0,,
KC Brathwaite,Sydney Cricket Ground,20,24,,1,bowler,,0.0,5.0
Yasir Shah,Melbourne Cricket Ground,0,3,0.0,1,batter,0.0,,
K Nassoro,"Bayuemas Oval, Kuala Lumpur",43,67,3.0,3,batter,64.18,,
MJ Hay,"University Oval, Dunedin",21,16,2.0,1,batter,131.25,,
Faheem Ashraf,The Rose Bowl,69,60,,1,bowler,,0.0,6.9
MDK Perera,Harare Sports Club,193,357,,2,bowler,,8.0,3.24
KOA Powell,"Queen's Park Oval, Port of Spain",149,236,18.0,3,batter,63.14,,
J Charles,Saxton Oval,0,14,0.0,1,batter,0.0,,
Tanvir Islam,"R Premadasa Stadium, Colombo",83,120,,2,bowler,,6.0,4.15
HM Amla,Gaddafi Stadium,146,159,19.0,4,batter,91.82,,
VM Nyauchi,"Trent Bridge, Nottingham",103,108,,1,bowler,,0.0,5.72
RL Chase,Headingley,31,77,3.0,1,batter,40.26,,
VD Philander,Newlands,293,673,34.0,12,batter,43.54,,
E Otieno,Mombasa Sports Club Ground,16,12,,1,bowler,,0.0,8.0
RS Bopara,Headingley,18,19,,2,bowler,,0.0,5.68
JM Bairstow,"Himachal Pradesh Cricket Association Stadium, Dharamsala",120,108,18.0,2,batter,111.11,,
BB Sran,Melbourne Cricket Ground,63,48,,1,bowler,,0.0,7.88
BJ Watling,St George's Park,126,204,24.0,1,batter,61.76,,
Mohammad Amir,P Sara Oval,69,114,,1,bowler,,0.0,3.63
TG Southee,Pallekele International Cricket Stadium,320,305,,11,bowler,,16.0,6.3
R Ravindra,"John Davies Oval, Queenstown",2,1,0.0,1,batter,200.0,,
AC Agar,M.Chinnaswamy Stadium,11,13,0.0,1,batter,84.62,,
Jaspal Singh,"Guernsey Rovers Athletic Club Ground, Port Soif",81,66,,3,bowler,,2.0,7.36
S Joseph,"Brian Lara Stadium, Tarouba, Trinidad",2,7,0.0,1,batter,28.57,,
FDM Karunaratne,"Brisbane Cricket Ground, Woolloongabba",27,87,1.0,1,batter,31.03,,
SR Clark,"Sabina Park, Kingston",91,234,,1,bowler,,8.0,2.33
JE Root,"Trent Bridge, Nottingham",35,42,,3,bowler,,0.0,5.0
Mahedi Hasan,"Providence Stadium, Guyana",21,24,,1,bowler,,1.0,5.25
AM Phangiso,Feroz Shah Kotla,26,24,,1,bowler,,2.0,6.5
Mohammad Naveed,"Brisbane Cricket Ground, Woolloongabba",13,11,2.0,1,batter,118.18,,
SO Tikolo,Eden Gardens,49,42,,1,bowler,,0.0,7.0
BJ Webster,"Lord's, London",33,48,,1,bowler,,0.0,4.12
D Ganga,St George's Park,78,179,11.0,1,batter,43.58,,
T Lungameni,"Tribhuvan University International Cricket Ground, Kirtipur",235,258,,7,bowler,,4.0,5.47
Abdul Stanikzai,Bayer Uerdingen Cricket Ground,71,86,7.0,4,batter,82.56,,
SCJ Broad,"Lord's, London",92,146,13.0,4,batter,63.01,,
Aaron Jones,"Sir Vivian Richards Stadium, North Sound, Antigua",67,58,7.0,3,batter,115.52,,
Mohammad Ashraful,Zahur Ahmed Chowdhury Stadium,171,264,23.0,4,batter,64.77,,
R Dravid,Edgbaston,159,272,17.0,3,batter,58.46,,
TT Bresnan,Saurashtra Cricket Association Stadium,67,48,,1,bowler,,2.0,8.38
MJ Hoggard,"Bangabandhu National Stadium, Dhaka",6,35,1.0,1,batter,17.14,,
DA Miller,Edgbaston,130,165,9.0,3,batter,78.79,,
JDS Neesham,"Kensington Oval, Bridgetown",21,55,,1,bowler,,2.0,2.29
AL Phehlukwayo,Newlands,332,330,,9,bowler,,10.0,6.04
HH Pandya,"St George's Park, Gqeberha",22,18,,1,bowler,,0.0,7.33
JE Taylor,Kennington Oval,2,3,0.0,2,batter,66.67,,
V Baskaran,"Queens Sports Club, Bulawayo",32,12,,1,bowler,,0.0,16.0
RG Aga,Dubai International Cricket Stadium,3,8,0.0,1,batter,37.5,,
DA Warner,"Brisbane Cricket Ground, Woolloongabba",1145,1497,125.0,16,batter,76.49,,
SW Tait,Westpac Stadium,21,24,,1,bowler,,2.0,5.25
AF Milne,SuperSport Park,25,19,2.0,2,batter,131.58,,
Tilak Varma,Melbourne Cricket Ground,0,2,0.0,1,batter,0.0,,
Mehedi Hasan Miraz,The Cooper Associates County Ground,57,54,,1,bowler,,0.0,6.33
Manjural Islam Rana,Bangabandhu National Stadium,89,170,16.0,1,batter,52.35,,
SF Tiai,Sano International Cricket Ground,16,15,2.0,3,batter,106.67,,
S Pradhan,"UKM-YSD Cricket Oval, Bangi",25,39,2.0,5,batter,64.1,,
MD Patel,"Moosa Cricket Stadium, Pearland",317,351,31.0,6,batter,90.31,,
CJ Ferguson,Dubai Sports City Cricket Stadium,12,24,1.0,2,batter,50.0,,
PHT Kaushal,Galle International Stadium,275,454,,2,bowler,,9.0,3.63
Shan Masood,"Shere Bangla National Stadium, Mirpur",11,22,2.0,1,batter,50.0,,
PWH de Silva,Perth Stadium,1,4,0.0,1,batter,25.0,,
MJ Henry,"Narendra Modi Stadium, Ahmedabad",9,9,1.0,2,batter,100.0,,
DD Ebrahim,Multan Cricket Stadium,29,58,3.0,1,batter,50.0,,
KMDN Kulasekara,Sheikh Zayed Stadium,1,7,0.0,1,batter,14.29,,
RJW Topley,Perth Stadium,36,24,,1,bowler,,2.0,9.0
A Flintoff,Western Australia Cricket Association Ground,66,60,,1,bowler,,0.0,6.6
MJ Guptill,Kennington Oval,12,6,,1,bowler,,0.0,12.0
Faheem Ashraf,Sheikh Zayed Stadium,83,132,,6,bowler,,6.0,3.77
LL Tsotsobe,Sharjah Cricket Stadium,56,102,,2,bowler,,3.0,3.29
MJ Clarke,"Nehru Stadium, Poona",14,12,,1,bowler,,0.0,7.0
Ebadat Hossain,Seddon Park,0,4,0.0,1,batter,0.0,,
JI de Villiers,"Wanderers Cricket Ground, Windhoek",44,18,,1,bowler,,0.0,14.67
P Rathnayake,Rawalpindi Cricket Stadium,40,48,3.0,2,batter,83.33,,
SSB Magala,"Mangaung Oval, Bloemfontein",5,4,1.0,1,batter,125.0,,
NW Bracken,Marrara Cricket Ground,58,102,,3,bowler,,2.0,3.41
Shaheen Shah Afridi,"University Oval, Dunedin",38,25,5.0,2,batter,152.0,,
ND McKenzie,New Wanderers Stadium,71,219,11.0,1,batter,32.42,,
Mushfiqur Rahim,Mangaung Oval,46,61,6.0,2,batter,75.41,,
Shoaib Bashir,"Himachal Pradesh Cricket Association Stadium, Dharamsala",173,277,,1,bowler,,5.0,3.75
Yuvraj Singh,"Kingsmead, Durban",58,48,7.0,2,batter,120.83,,
JDP Oram,Carisbrook,51,60,,1,bowler,,3.0,5.1
PJ Cummins,"Kennington Oval, London",59,139,6.0,2,batter,42.45,,
Usama Mir,"Seddon Park, Hamilton",39,24,,1,bowler,,1.0,9.75
M Kartik,"Punjab Cricket Association IS Bindra Stadium, Mohali",5,24,,1,bowler,,0.0,1.25
PWH de Silva,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",20,6,3.0,1,batter,333.33,,
PG Fulton,Seddon Park,71,145,11.0,2,batter,48.97,,
RS Bopara,"Punjab Cricket Association Stadium, Mohali",8,12,,1,bowler,,0.0,4.0
A Nel,Headingley,53,60,,1,bowler,,0.0,5.3
K Verreynne,"The Village, Malahide, Dublin",13,16,1.0,1,batter,81.25,,
J Blackwood,"The Wanderers Stadium, Johannesburg",3,6,,1,bowler,,0.0,3.0
JP Duminy,De Beers Diamond Oval,54,34,,2,bowler,,0.0,9.53
Liton Das,Senwes Park,38,52,5.0,2,batter,73.08,,
DW Steyn,R Premadasa Stadium,101,111,,4,bowler,,5.0,5.46
CZ Harris,Kennington Oval,65,102,,2,bowler,,2.0,3.82
S Lamichhane,"Gymkhana Club Ground, Nairobi",4,4,0.0,1,batter,100.0,,
J Blackwood,"Sabina Park, Jamaica",38,72,5.0,1,batter,52.78,,
M Morkel,"Sardar Patel Stadium, Motera",155,198,,2,bowler,,4.0,4.7
AU Rashid,"Lord's, London",44,82,,2,bowler,,3.0,3.22
GI Hume,Bulawayo Athletic Club,32,30,,1,bowler,,0.0,6.4
Waqar Younis,"Newlands, Cape Town",158,210,,2,bowler,,3.0,4.51
H Masakadza,Queens Sports Club,338,437,,18,bowler,,7.0,4.64
Iftikhar Anjum,"Punjab Cricket Association Stadium, Mohali",2,6,0.0,1,batter,33.33,,
A Ndlovu,"Wanderers Cricket Ground, Windhoek",27,24,,1,bowler,,0.0,6.75
KP Pietersen,W.A.C.A. Ground,125,270,14.0,1,batter,46.3,,
A Shukla,Zhejiang University of Technology Cricket Field,0,3,0.0,1,batter,0.0,,
Shakib Al Hasan,Clontarf Cricket Club Ground,25,46,3.0,2,batter,54.35,,
S Dube,Pallekele International Cricket Stadium,13,14,0.0,1,batter,92.86,,
SL Malinga,Riverside Ground,4,2,1.0,1,batter,200.0,,
WU Tharanga,Harare Sports Club,448,762,47.0,10,batter,58.79,,
BRM Taylor,Sawai Mansingh Stadium,52,74,7.0,1,batter,70.27,,
KJ Coetzer,"Tribhuvan University International Cricket Ground, Kirtipur",68,98,11.0,3,batter,69.39,,
KMA Paul,"Brian Lara Stadium, Tarouba, Trinidad",19,22,2.0,1,batter,86.36,,
PA van Meekeren,"Forthill, Dundee",26,33,3.0,3,batter,78.79,,
MB Tambe,"Solvangs Park, Glostrup",26,24,,1,bowler,,1.0,6.5
LN Oluoch,"Willowmoore Park, Benoni",60,54,,3,bowler,,9.0,6.67
Nizakat Khan,ICC Academy,49,67,4.0,2,batter,73.13,,
KP Pietersen,Headingley,150,173,,6,bowler,,6.0,5.2
MV Boucher,National Stadium,30,74,4.0,1,batter,40.54,,
A Bohara,ICC Academy,72,60,,3,bowler,,6.0,7.2
KD Mills,New Wanderers Stadium,206,227,,5,bowler,,6.0,5.44
DJ Willey,"Manuka Oval, Canberra",0,2,0.0,1,batter,0.0,,
AU Rashid,"The Village, Malahide, Dublin",65,48,,2,bowler,,4.0,8.12
S Dhawan,"R.Premadasa Stadium, Khettarama",202,142,28.0,6,batter,142.25,,
CK Langeveldt,Chittagong Divisional Stadium,32,54,,1,bowler,,2.0,3.56
Umar Gul,"National Stadium, Karachi",52,60,,1,bowler,,1.0,5.2
Asad Shafiq,Sheikh Zayed Stadium,39,88,,3,bowler,,1.0,2.66
JG Bethell,"Sir Vivian Richards Stadium, North Sound, Antigua",32,24,,2,bowler,,0.0,8.0
BJ Dwarshuis,"Gaddafi Stadium, Lahore",7,10,0.0,2,batter,70.0,,
Mohammad Wasim,Rawalpindi Cricket Stadium,0,1,0.0,1,batter,0.0,,
AN Petersen,Newlands,428,724,49.0,7,batter,59.12,,
K Nestor,Gucherre Cricket Ground,29,43,2.0,3,batter,67.44,,
UT Khawaja,"Holkar Cricket Stadium, Indore",58,146,4.0,1,batter,39.73,,
KAR Hodge,Melbourne Cricket Ground,10,12,,1,bowler,,0.0,5.0
BA Carse,"Seddon Park, Hamilton",155,223,,2,bowler,,2.0,4.17
LD Chandimal,De Beers Diamond Oval,59,81,2.0,1,batter,72.84,,
DL Vettori,Basin Reserve,572,762,75.0,9,batter,75.07,,
Junaid Khan,Harare Sports Club,29,87,4.0,2,batter,33.33,,
SM Sharif,Harare Sports Club,34,39,3.0,1,batter,87.18,,
HA Chohan,Integrated Polytechnic Regional Centre,28,12,,1,bowler,,0.0,14.0
MS Dhoni,Sector 16 Stadium,50,35,6.0,1,batter,142.86,,
Abdul Razzaq,Edgbaston,31,73,1.0,5,batter,42.47,,
MR Marsh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,6,,1,bowler,,0.0,6.0
Nasir Jamshed,Sheikhupura Stadium,19,18,2.0,1,batter,105.56,,
MP O'Dowd,"Tribhuvan University International Cricket Ground, Kirtipur",36,32,,3,bowler,,1.0,6.75
CAK Rajitha,"Daren Sammy National Cricket Stadium, Gros Islet",72,210,,1,bowler,,5.0,2.06
L Embuldeniya,Galle International Stadium,115,264,15.0,6,batter,43.56,,
RJ Peterson,Green Park,34,24,4.0,1,batter,141.67,,
CO Obuya,ICC Academy,43,41,,2,bowler,,6.0,6.29
Danish Kaneria,Sinhalese Sports Club,26,50,,1,bowler,,1.0,3.12
Shahid Afridi,Melbourne Cricket Ground,50,60,,1,bowler,,2.0,5.0
Fayyaz Butt,"Queens Sports Club, Bulawayo",23,35,3.0,2,batter,65.71,,
JE Root,Feroz Shah Kotla,52,46,7.0,2,batter,113.04,,
C Karunaratne,"Greenfield International Stadium, Thiruvananthapuram",1,6,0.0,1,batter,16.67,,
DBL Powell,"Antigua Recreation Ground, St John's",44,139,4.0,1,batter,31.65,,
I Takahashi,"Yeonhui Cricket Ground, Incheon",60,57,6.0,6,batter,105.26,,
ND McKenzie,Eden Park,8,12,,1,bowler,,0.0,4.0
LS Livingstone,Sydney Cricket Ground,4,6,0.0,1,batter,66.67,,
PJ Cummins,Seddon Park,47,60,,1,bowler,,1.0,4.7
MD Shanaka,Headingley,4,17,0.0,1,batter,23.53,,
A Bohara,Tribhuvan University International Cricket Ground,78,102,,4,bowler,,0.0,4.59
D Padikkal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",65,103,11.0,1,batter,63.11,,
J Botha,Senwes Park,23,15,5.0,1,batter,153.33,,
VVS Laxman,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",3,4,0.0,1,batter,75.0,,
DA Miller,Eden Park,94,66,17.0,3,batter,142.42,,
Ilyas Ataullah,Tikkurila Cricket Ground,14,12,,1,bowler,,2.0,7.0
Mohammad Hafeez,Adelaide Oval,43,42,,1,bowler,,0.0,6.14
Hardeep Singh,"Mladost Cricket Ground, Zagreb",4,1,1.0,1,batter,400.0,,
Zahoor Khan,"Queens Sports Club, Bulawayo",6,11,0.0,1,batter,54.55,,
JC Tredwell,Himachal Pradesh Cricket Association Stadium,25,60,,1,bowler,,2.0,2.5
Mohammad Abbas,Headingley,2,23,0.0,1,batter,8.7,,
GD Drummond,Dubai International Cricket Stadium,56,42,,2,bowler,,1.0,8.0
JJ Roy,Wankhede Stadium,58,31,10.0,2,batter,187.1,,
A Martin,"Sabina Park, Kingston",39,60,,1,bowler,,1.0,3.9
RR Pant,Brisbane Cricket Ground,112,166,12.0,1,batter,67.47,,
Rishad Hossain,Rangiri Dambulla International Stadium,18,20,,1,bowler,,3.0,5.4
N Vanua,"Brian Lara Stadium, Tarouba, Trinidad",6,6,,1,bowler,,0.0,6.0
Shaheen Shah Afridi,Seddon Park,38,24,,1,bowler,,0.0,9.5
Javed Omar,R.Premadasa Stadium,39,53,6.0,1,batter,73.58,,
H Masakadza,National Stadium,8,12,,1,bowler,,0.0,4.0
JJ Smit,Kyambogo Cricket Oval,21,24,,1,bowler,,0.0,5.25
HC Brook,"Eden Gardens, Kolkata",65,44,9.0,4,batter,147.73,,
MEK Hussey,Clontarf Cricket Club Ground,8,17,0.0,1,batter,47.06,,
AB de Villiers,Feroz Shah Kotla,212,491,23.0,3,batter,43.18,,
DM de Silva,Holkar Cricket Stadium,15,12,,1,bowler,,0.0,7.5
Jatinder Singh,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",186,196,24.0,4,batter,94.9,,
D Pretorius,The Wanderers Stadium,116,123,17.0,2,batter,94.31,,
Ahmed Shehzad,Galle International Stadium,72,122,9.0,2,batter,59.02,,
RS Morton,"Queen's Park Oval, Port of Spain",109,150,13.0,1,batter,72.67,,
Wahab Riaz,Gaddafi Stadium,210,204,,6,bowler,,9.0,6.18
JD Nel,Kingsmead,13,7,2.0,1,batter,185.71,,
Inzamam-ul-Haq,Headingley,63,125,11.0,1,batter,50.4,,
NW Bracken,"Kensington Oval, Bridgetown",34,36,,1,bowler,,1.0,5.67
LRPL Taylor,Eden Park,771,945,86.0,33,batter,81.59,,
T Panyangara,Eden Park,6,6,1.0,1,batter,100.0,,
DA Warner,Manuka Oval,285,267,40.0,4,batter,106.74,,
KMDN Kulasekara,National Stadium,78,80,6.0,5,batter,97.5,,
DL Vettori,Brisbane Cricket Ground,154,300,,1,bowler,,4.0,3.08
Sahibzada Farhan,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",91,72,10.0,3,batter,126.39,,
Chirag Suri,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),557,569,74.0,17,batter,97.89,,
Kamran Akmal,Sharjah Cricket Stadium,6,17,0.0,2,batter,35.29,,
WD Parnell,"County Ground, Bristol",2,4,0.0,1,batter,50.0,,
I Danladi,"Achimota Senior Secondary School A Field, Accra",15,8,2.0,1,batter,187.5,,
RN Lewis,Queenstown Events Centre,29,36,,1,bowler,,1.0,4.83
C Floyd,"Takashinga Sports Club, Highfield, Harare",89,138,,3,bowler,,2.0,3.87
EJG Morgan,University Oval,5,6,1.0,1,batter,83.33,,
DA Miller,"Sedgars Park, Potchefstroom",8,17,0.0,1,batter,47.06,,
CD Collymore,Old Trafford,84,191,,1,bowler,,3.0,2.64
MR Adair,"Civil Service Cricket Club, Stormont, Belfast",144,134,20.0,8,batter,107.46,,
KA Edwards,"Arnos Vale Ground, Kingstown",10,14,2.0,1,batter,71.43,,
EJG Morgan,Western Australia Cricket Association Ground,35,47,4.0,3,batter,74.47,,
WW Hinds,Adelaide Oval,25,24,,1,bowler,,1.0,6.25
F Hand,Melbourne Cricket Ground,17,12,,1,bowler,,1.0,8.5
DG Brownlie,Lord's,28,68,5.0,1,batter,41.18,,
Adil Butt,"Tafawa Balewa Square Cricket Oval, Lagos",35,24,,1,bowler,,0.0,8.75
Wahab Riaz,Eden Gardens,47,36,,2,bowler,,1.0,7.83
PA de Silva,Sydney Cricket Ground,70,74,,2,bowler,,4.0,5.68
Ahmed Shehzad,AMI Stadium,54,37,10.0,2,batter,145.95,,
D Muhumuza,Entebbe Cricket Oval,5,17,0.0,2,batter,29.41,,
JE Root,"Sir Vivian Richards Stadium, North Sound, Antigua",36,42,,1,bowler,,0.0,5.14
A Flintoff,"Beausejour Stadium, Gros Islet",3,7,0.0,2,batter,42.86,,
RJ Sidebottom,"Sabina Park, Kingston",32,115,3.0,1,batter,27.83,,
DR Hooper,"Sportpark Het Schootsveld, Deventer",55,30,,2,bowler,,1.0,11.0
MJ Clarke,Nehru Stadium,27,38,3.0,1,batter,71.05,,
Ehsan Khan,ICC Academy,4,9,0.0,1,batter,44.44,,
SK Warne,Kingsmead,166,365,,1,bowler,,8.0,2.73
O Thomas,Pallekele International Cricket Stadium,52,42,,2,bowler,,6.0,7.43
Shahid Afridi,Eden Gardens,52,48,,2,bowler,,2.0,6.5
PJ Cummins,"Kensington Oval, Bridgetown, Barbados",72,174,,2,bowler,,5.0,2.48
Abdur Rauf,P Sara Oval,0,37,0.0,1,batter,0.0,,
RK Singh,Zhejiang University of Technology Cricket Field,37,15,6.0,1,batter,246.67,,
Yasir Mohammad,Bulawayo Athletic Club,18,18,,1,bowler,,1.0,6.0
Jahurul Islam,Rangiri Dambulla International Stadium,11,14,1.0,1,batter,78.57,,
BA Stokes,Boland Park,16,13,2.0,1,batter,123.08,,
AK Markram,Sinhalese Sports Club Ground,42,94,,1,bowler,,0.0,2.68
AAP Rivero,"St George's College Ground, Buenos Aires",32,44,2.0,2,batter,72.73,,
GJ Delany,Harare Sports Club,138,108,,8,bowler,,6.0,7.67
Mahmudullah,Diamond Oval,26,27,4.0,1,batter,96.3,,
KMDN Kulasekara,Queens Sports Club,19,14,2.0,1,batter,135.71,,
L Tucker,"Sinhalese Sports Club Ground, Colombo",94,50,14.0,1,batter,188.0,,
DC Delany,Sheikh Zayed Stadium,98,72,,3,bowler,,3.0,8.17
Saqib Zulfiqar,"Queens Sports Club, Bulawayo",35,37,4.0,2,batter,94.59,,
MP Stoinis,Holkar Cricket Stadium,61,48,,1,bowler,,0.0,7.62
Mandeep Singh,Harare Sports Club,86,72,12.0,3,batter,119.44,,
Azhar Ali,Harare Sports Club,22,24,,1,bowler,,0.0,5.5
RR Sarwan,Harare Sports Club,47,67,5.0,2,batter,70.15,,
CRD Fernando,R Premadasa Stadium,316,367,,8,bowler,,13.0,5.17
J Charles,Nehru Stadium,42,34,8.0,1,batter,123.53,,
Thuya Aung,"Bayuemas Oval, Kuala Lumpur",32,92,2.0,7,batter,34.78,,
T Lungameni,United Cricket Club Ground,49,54,,3,bowler,,3.0,5.44
BRM Taylor,Iqbal Stadium,7,6,1.0,1,batter,116.67,,
V Kohli,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",107,118,9.0,2,batter,90.68,,
D Elgar,Trent Bridge,87,165,13.0,2,batter,52.73,,
JDP Oram,Sheikh Zayed Stadium,44,64,2.0,3,batter,68.75,,
GJ Batty,Antigua Recreation Ground,8,32,2.0,1,batter,25.0,,
PR Stirling,Manuka Oval,68,60,,1,bowler,,0.0,6.8
B Fitchet,"Sportpark Westvliet, Voorburg",14,35,1.0,3,batter,40.0,,
TA Boult,Bellerive Oval,21,18,4.0,1,batter,116.67,,
M Dillon,"Kensington Oval, Bridgetown, Barbados",2,4,0.0,1,batter,50.0,,
HM Amla,Old Trafford,159,223,25.0,2,batter,71.3,,
TM Odoyo,Sharjah Cricket Association Stadium,118,174,,3,bowler,,3.0,4.07
MA Leask,"Forthill, Dundee",161,126,20.0,6,batter,127.78,,
