player,venue,runs,balls,boundaries,matches,entity_type,strike_rate,wickets,economy
Faheem Ashraf,Harare Sports Club,24,28,3.0,5,batter,85.71,,
T Musekiwa,"MA Chidambaram Stadium, Chepauk, Chennai",7,3,1.0,1,batter,233.33,,
Mohammad Irfan,Shere Bangla National Stadium,87,96,,4,bowler,,5.0,5.44
A Sharma,"Tribhuvan University International Cricket Ground, Kirtipur",227,271,28.0,5,batter,83.76,,
Mir Hamza,Sydney Cricket Ground,62,138,,1,bowler,,1.0,2.7
Basil Hameed,"Tribhuvan University International Cricket Ground, Kirtipur",78,108,8.0,5,batter,72.22,,
R Trumpelmann,"Cambusdoon New Ground, Ayr",25,43,2.0,2,batter,58.14,,
M Theekshana,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",93,102,,2,bowler,,1.0,5.47
ME Trescothick,Daren Sammy National Cricket Stadium,29,33,4.0,1,batter,87.88,,
CE McConchie,"Shere Bangla National Stadium, Mirpur",138,151,,7,bowler,,10.0,5.48
Ali Naseer,"ICC Academy, Dubai",32,26,3.0,4,batter,123.08,,
JN Mohammed,R Premadasa Stadium,25,36,,1,bowler,,0.0,4.17
S Chanderpaul,Bellerive Oval,49,113,5.0,1,batter,43.36,,
LPC Silva,New Wanderers Stadium,63,48,9.0,4,batter,131.25,,
TKP Rajapaksha,Gahanga International Cricket Stadium. Rwanda,17,27,2.0,2,batter,62.96,,
HDRL Thirimanne,The Wanderers Stadium,48,87,10.0,1,batter,55.17,,
C Pengkumta,"West End Park International Cricket Stadium, Doha",12,6,,1,bowler,,0.0,12.0
Shahadat Hossain,Lord's,20,21,3.0,1,batter,95.24,,
AJ Burger,"St George's Park, Port Elizabeth",85,84,11.0,1,batter,101.19,,
Wahab Riaz,Clontarf Cricket Club Ground,45,42,,1,bowler,,1.0,6.43
PLS Gamage,"Vidarbha Cricket Association Stadium, Jamtha",0,9,0.0,1,batter,0.0,,
JE Root,University Oval,106,114,9.0,2,batter,92.98,,
RR Patel,"Sikh Union Club Ground, Nairobi",142,132,,7,bowler,,9.0,6.45
AJ Hall,"Buffalo Park, East London",26,42,,1,bowler,,1.0,3.71
SO Hetmyer,"National Cricket Stadium, St George's, Grenada",59,58,5.0,4,batter,101.72,,
TG Southee,"Vidarbha Cricket Association Stadium, Jamtha",75,103,8.0,2,batter,72.82,,
Mehran Khan,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),68,81,6.0,10,batter,83.95,,
NM Lyon,Newlands,219,527,,3,bowler,,5.0,2.49
DS Smith,Kennington Oval,61,34,10.0,1,batter,179.41,,
Milind Kumar,"Kensington Oval, Bridgetown, Barbados",22,6,,1,bowler,,0.0,22.0
J Little,"County Ground, Bristol",7,7,1.0,1,batter,100.0,,
SE Bond,"Punjab Cricket Association Stadium, Mohali",9,11,1.0,1,batter,81.82,,
DW Steyn,"Windsor Park, Roseau",19,42,,1,bowler,,1.0,2.71
A Mishra,Galle International Stadium,25,53,4.0,1,batter,47.17,,
C Green,"National Stadium, Karachi",28,73,3.0,1,batter,38.36,,
SV Carlisle,Bellerive Oval,36,71,3.0,1,batter,50.7,,
KD Shah,"Civil Service Cricket Club, Stormont",12,19,0.0,1,batter,63.16,,
NJ Maddinson,Saurashtra Cricket Association Stadium,34,16,7.0,1,batter,212.5,,
R Hekure,Bulawayo Athletic Club,57,54,,3,bowler,,1.0,6.33
BJ McCarthy,"Castle Avenue, Dublin",4,13,0.0,2,batter,30.77,,
KP Pietersen,Feroz Shah Kotla,92,104,14.0,2,batter,88.46,,
JC Tredwell,Seddon Park,20,12,,1,bowler,,1.0,10.0
Amjad Sher,"King George V Sports Ground, Castel",61,48,,2,bowler,,0.0,7.62
Q de Kock,Hagley Oval,57,65,6.0,1,batter,87.69,,
S Muniandy,Terdthai Cricket Ground,95,54,,3,bowler,,1.0,10.56
KL Rahul,"SuperSport Park, Centurion",250,488,41.0,2,batter,51.23,,
K Bhurtel,Harare Sports Club,104,101,16.0,2,batter,102.97,,
Mohammed Siraj,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,3,0.0,1,batter,0.0,,
D Ramdin,Riverside Ground,72,117,10.0,2,batter,61.54,,
Yuvraj Singh,M Chinnaswamy Stadium,236,232,26.0,9,batter,101.72,,
Muhammad Jabir,"West End Park International Cricket Stadium, Doha",4,8,0.0,3,batter,50.0,,
RP Singh,Kennington Oval,272,426,,3,bowler,,2.0,3.83
SB Styris,"Nehru Stadium, Poona",31,42,,1,bowler,,1.0,4.43
Amir Ali,Himachal Pradesh Cricket Association Stadium,32,19,6.0,2,batter,168.42,,
TM Dilshan,Sydney Cricket Ground,235,285,27.0,9,batter,82.46,,
EH Hutchinson,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),12,36,,1,bowler,,1.0,2.0
KA Jamieson,Eden Park,68,78,,2,bowler,,2.0,5.23
MC Henriques,Sinhalese Sports Club Ground,9,12,,1,bowler,,0.0,4.5
MA Starc,"Manuka Oval, Canberra",87,60,,3,bowler,,1.0,8.7
GJ Maxwell,Shere Bangla National Stadium,80,60,,3,bowler,,1.0,8.0
MJ Clarke,Edgbaston,4,6,,1,bowler,,0.0,4.0
A Nehra,Reliance Stadium,96,108,,2,bowler,,2.0,5.33
JP Duminy,Mangaung Oval,31,51,2.0,3,batter,60.78,,
LPC Silva,P Sara Oval,33,47,3.0,1,batter,70.21,,
KMDN Kulasekara,"Clontarf Cricket Club Ground, Dublin",42,34,5.0,1,batter,123.53,,
Mohammad Amir,McLean Park,30,135,4.0,1,batter,22.22,,
HMRKB Herath,"Shere Bangla National Stadium, Mirpur",80,141,,1,bowler,,4.0,3.4
TMK Mawoyo,Shere Bangla National Stadium,24,54,1.0,2,batter,44.44,,
MR Marsh,Himachal Pradesh Cricket Association Stadium,24,23,2.0,1,batter,104.35,,
Mohammad Hafeez,Multan Cricket Stadium,108,229,,4,bowler,,3.0,2.83
SE Bond,Adelaide Oval,2,2,0.0,1,batter,100.0,,
TM Head,Eden Gardens,11,12,,1,bowler,,0.0,5.5
MN Samuels,R Premadasa Stadium,219,182,26.0,6,batter,120.33,,
T Taibu,"Queen's Park Oval, Port of Spain",0,7,0.0,1,batter,0.0,,
Sufiyan Muqeem,"Bellerive Oval, Hobart",1,3,0.0,1,batter,33.33,,
HGV Vare,"Mission Road Ground, Mong Kok, Hong Kong",18,21,2.0,1,batter,85.71,,
RA Jadeja,"Arun Jaitley Stadium, Delhi",258,511,,2,bowler,,14.0,3.03
