player,phase,runs,balls,dots,boundaries,entity_type,strike_rate,dot_ball_pct,boundary_pct,wickets,economy
G Motie,Middle,117,88,38,14,batter,132.95,43.18,15.91,,
GB Hogg,Death,664,816,359,47,batter,81.37,44.0,5.76,,
GB Hogg,Long-format,161,277,188,14,batter,58.12,67.87,5.05,,
GB Hogg,Middle,36,22,8,4,batter,163.64,36.36,18.18,,
GC Smith,Death,1651,1831,797,153,batter,90.17,43.53,8.36,,
GC Smith,Long-format,7532,12372,8517,967,batter,60.88,68.84,7.82,,
GC Smith,Middle,2448,2584,1314,313,batter,94.74,50.85,12.11,,
GC Smith,Powerplay,2033,2729,1712,285,batter,74.5,62.73,10.44,,
GC Wilson,Death,1240,1465,715,119,batter,84.64,48.81,8.12,,
GC Wilson,Long-format,45,114,90,7,batter,39.47,78.95,6.14,,
GC Wilson,Middle,674,786,364,64,batter,85.75,46.31,8.14,,
GC Wilson,Powerplay,154,209,132,21,batter,73.68,63.16,10.05,,
GD Elliott,Death,1789,2012,909,166,batter,88.92,45.18,8.25,,
GD Elliott,Long-format,86,321,258,3,batter,26.79,80.37,0.93,,
GD Elliott,Middle,269,436,257,22,batter,61.7,58.94,5.05,,
GD Elliott,Powerplay,18,50,37,2,batter,36.0,74.0,4.0,,
GD McGrath,Death,18,41,24,0,batter,43.9,58.54,0.0,,
GD McGrath,Long-format,167,364,267,15,batter,45.88,73.35,4.12,,
GD McGrath,Middle,5,12,9,0,batter,41.67,75.0,0.0,,
GD Phillips,Death,1533,1280,528,184,batter,119.77,41.25,14.37,,
GD Phillips,Long-format,775,1080,701,101,batter,71.76,64.91,9.35,,
GD Phillips,Middle,1609,1117,323,185,batter,144.05,28.92,16.56,,
GD Phillips,Powerplay,259,291,152,33,batter,89.0,52.23,11.34,,
GH Dockrell,Death,1630,1620,722,174,batter,100.62,44.57,10.74,,
GH Dockrell,Long-format,34,78,62,6,batter,43.59,79.49,7.69,,
GH Dockrell,Middle,652,576,213,71,batter,113.19,36.98,12.33,,
GH Dockrell,Powerplay,37,57,38,5,batter,64.91,66.67,8.77,,
GJ Bailey,Death,2617,2871,1287,240,batter,91.15,44.83,8.36,,
GJ Bailey,Long-format,179,310,227,22,batter,57.74,73.23,7.1,,
GJ Bailey,Middle,790,986,567,87,batter,80.12,57.51,8.82,,
GJ Bailey,Powerplay,77,106,65,7,batter,72.64,61.32,6.6,,
GJ Maxwell,Death,3886,2966,1172,519,batter,131.02,39.51,17.5,,
